#airframe_info, log_version="1.00", airframe_name="Diamond DA42NG", unit_software_part_number="006-B0319-C2", unit_software_version="14.02", system_software_part_number="010-00670-12", system_id="2D4736DD3", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      gph,      psi,   deg F,     psi,    rpm,       %,      gph,       psi,   deg F,       psi,    rpm,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, E1 FFlow, E1 FPres, E1 OilT, E1 OilP, E1 RPM, E1 %Pwr, E2 FFlow,  E2 FPres, E2 OilT,   E2 OilP, E2 RPM, E2 %Pwr,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 29.73,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,    ,  GPS,  194.5, 111.70, 111.70, 123.000, 123.000,       ,       ,       ,      ,       ,       ,  -12.4,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 29.73,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,    ,  GPS,  194.5, 111.70, 111.70, 123.000, 123.000,       ,       ,       ,      ,       ,       ,  -12.4,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 29.73,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,    ,  GPS,  194.5, 111.70, 111.70, 123.000, 123.000,       ,       ,       ,      ,       ,       ,  -12.4,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 29.73,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,    ,  GPS,  194.5, 111.70, 111.70, 123.000, 123.000,       ,       ,       ,      ,       ,       ,  -12.4,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 29.73,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,    ,  GPS,  194.5, 111.70, 111.70, 123.000, 123.000,       ,       ,       ,      ,       ,       ,  -12.4,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 29.73,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,    ,  GPS,  194.5, 111.70, 111.70, 123.000, 123.000,       ,       ,       ,      ,       ,       ,  -12.4,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 29.73,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,    ,  GPS,  194.5, 111.70, 111.70, 123.000, 123.000,       ,       ,       ,      ,       ,       ,  -12.4,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-06-12, 10:22:46,  -04:00,       ,             ,             ,        , 29.73,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,    ,  GPS,  194.5, 111.70, 111.70, 123.000, 123.000,       ,       ,       ,      ,       ,       ,  -12.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2026-06-12, 10:22:47,  -04:00,       ,             ,             ,        , 29.73,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,    ,  GPS,  194.5, 111.70, 111.70, 123.000, 123.000,       ,       ,       ,      ,       ,       ,  -12.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2026-06-12, 10:22:48,  -04:00,       ,             ,             ,        , 29.73,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,    ,  GPS,  194.5, 111.70, 111.70, 123.000, 123.000,       ,       ,       ,      ,       ,       ,  -12.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2026-06-12, 10:22:49,  -04:00,       ,             ,             ,        , 29.73,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.7,  24.7,       ,       ,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,   0,  GPS,  194.5, 111.70, 111.70, 123.000, 123.000,       ,       ,       ,      ,       ,       ,  -12.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2026-06-12, 10:22:50,  -04:00,       ,             ,             ,   -10.3, 29.73,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.7,  24.7,  19.70,       ,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,   0,  GPS,  194.5, 111.70, 111.70, 123.000, 123.000,       ,       ,       ,      ,       ,       ,  -12.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2026-06-12, 10:22:51,  -04:00,       ,             ,             ,   -10.3, 29.73,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.7,  24.7,  19.70,       ,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,   0,  GPS,  194.5, 111.70, 111.70, 123.000, 123.000,       ,       ,       ,      ,       ,       ,  -12.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-06-12, 10:22:52,  -04:00,       ,             ,             ,   -10.3, 29.73,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,  19.70,       ,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,   0,  GPS,  194.5, 111.70, 111.70, 123.000, 123.000,       ,       ,       ,      ,       ,       ,  -12.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-06-12, 10:22:55,  -04:00,       ,             ,             ,   -10.3, 29.73,        ,  29.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,  19.70,       ,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,   0,  GPS,  194.5, 111.70, 111.70, 123.000, 123.000,       ,       ,       ,      ,       ,       ,  -12.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
