#airframe_info, log_version="1.00", airframe_name="Diamond DA42NG", unit_software_part_number="006-B0319-C2", unit_software_version="14.02", system_software_part_number="010-00670-12", system_id="2D4736DD3", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      gph,      psi,   deg F,     psi,    rpm,       %,      gph,       psi,   deg F,       psi,    rpm,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, E1 FFlow, E1 FPres, E1 OilT, E1 OilP, E1 RPM, E1 %Pwr, E2 FFlow,  E2 FPres, E2 OilT,   E2 OilP, E2 RPM, E2 %Pwr,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.16,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,    ,  GPS,  344.0, 111.70, 111.70, 122.900, 119.925,       ,       ,       ,      ,       ,       ,   10.8,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.16,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,    ,  GPS,  344.0, 111.70, 111.70, 122.900, 119.925,       ,       ,       ,      ,       ,       ,   10.8,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.16,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,    ,  GPS,  344.0, 111.70, 111.70, 122.900, 119.925,       ,       ,       ,      ,       ,       ,   10.8,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.16,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,    ,  GPS,  344.0, 111.70, 111.70, 122.900, 119.925,       ,       ,       ,      ,       ,       ,   10.8,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.16,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,    ,  GPS,  344.0, 111.70, 111.70, 122.900, 119.925,       ,       ,       ,      ,       ,       ,   10.8,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.16,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,    ,  GPS,  344.0, 111.70, 111.70, 122.900, 119.925,       ,       ,       ,      ,       ,       ,   10.8,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.16,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,    ,  GPS,  344.0, 111.70, 111.70, 122.900, 119.925,       ,       ,       ,      ,       ,       ,   10.8,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.16,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,    ,  GPS,  344.0, 111.70, 111.70, 122.900, 119.925,       ,       ,       ,      ,       ,       ,   10.8,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.16,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,    ,  GPS,  344.0, 111.70, 111.70, 122.900, 119.925,       ,       ,       ,      ,       ,       ,   10.8,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.16,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,    ,  GPS,  344.0, 111.70, 111.70, 122.900, 119.925,       ,       ,       ,      ,       ,       ,   10.8,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
